번호	설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치연월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	WGS84위도	WGS84경도	데이터기준일자
24	버스정류장 (06-205)	수진역.성호시장.성일중고입구	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.437833	127.142083	2022-10-30
25	버스정류장 (06-216)	모란역(광역.시외버스)	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.4304	127.129033	2022-10-30
26	버스정류장 (06-255)	성일고교앞	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.435817	127.14695	2022-10-30
27	버스정류장 (06-211)	상원초교.성남중앙병원.양지동청소년문화의집	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 은행2동	스마트도시과	031-729-8522	37.454783	127.1618	2022-10-30
28	버스정류장 (06-212)	을지대학교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 중원구 은행2동	스마트도시과	031-729-8522	37.4603	127.166517	2022-10-30
29	버스정류장 (06-213)	남한산성입구.양지파출소	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 중원구 은행2동	스마트도시과	031-729-8522	37.462467	127.169317	2022-10-30
30	버스정류장 (06-204)	신흥역.종합시장	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 중원구 중앙동	스마트도시과	031-729-8522	37.440267	127.1466	2022-10-30
31	버스정류장 (06-214)	은행시장.남한산성시장.은행동청소년문화의집	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2015-05		경기도 성남시 중원구 은행2동	스마트도시과	031-729-8522	37.45775	127.164317	2022-10-30
32	버스정류장 (06-215)	을지대학교.생활관	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2021-10		경기도 성남시 중원구 은행2동	스마트도시과	031-729-8522	37.46145	127.167967	2022-10-30
33	자광원	"A동(지하1층 식당, 1층 로비), B동(지하1층 로비, 1층 로비)"	경기도	성남시	서민·복지시설	LGU+	Public WiFi Free	2014-12	경기도 성남시 수정구 가마절로 40		LGU+	031-1544-8585	37.459423	127.139187	2022-10-30
34	은행시장	정류장 근처	경기도	성남시	서민·복지시설	성남시청	G_PublicWiFi@SeongNam	2017-12	경기도 성남시 중원구 산성대로 526		스마트도시과	031-729-8523	37.457677	127.164291	2022-10-30
35	남한산성시장	버스정류장 근처	경기도	성남시	서민·복지시설	성남시청	G_PublicWiFi@SeongNam	2017-12	경기도 성남시 중원구 은이로8번길 6		스마트도시과	031-729-8523	37.457498	127.165257	2022-10-30
36	은행2동제2복지회관	"1층 어린이집 사무실, 2층 경로당"	경기도	성남시	서민·복지시설	KT	Public WiFi Free	2015-12	경기도 성남시 중원구 은이로27번길 9		KT	031-1588-9010	37.457217	127.167583	2022-10-30
37	성남남한산성시장	"상가 옥상(2대), 반찬가게, 푸줏간 정육점, 차서방 생선가게"	경기도	성남시	서민·복지시설	KT	Public WiFi Free	2014-12	경기도 성남시 중원구 산성대로 526		KT	031-1588-9010	37.457117	127.164791	2022-10-30
38	은행2동 주민센터	은행2동 주민센터	경기도	성남시	관공서	성남시청	G_PublicWiFi@SeongNam	2015-12	경기도 성남시 중원구 은이로 21		중원구 행정지원과	031-729-6072	37.456991	127.166548	2022-10-30
39	산성종합사회복지관	"1층 민원대기실, 3층 강의실"	경기도	성남시	서민·복지시설	LGU+	Public WiFi Free	2014-01	경기도 성남시 수정구 수정남로306번길 15-16		LGU+	031-1544-8585	37.455677	127.15376	2022-10-30
40	은행동청소년문화의집	"1층 화장실, 2층 휴게실, 3층 어린이집, 4층 복도, 5층 강당"	경기도	성남시	서민·복지시설	KT	Public WiFi Free	2014-01	경기도 성남시 중원구 은행로25번길 14		KT	031-1588-9010	37.455651	127.165761	2022-10-30
41	단대공원 물놀이장	단대공원 물놀이장	경기도	성남시	편의시설	성남시청	G_PublicWiFi@SeongNam	2018-08		경기도 성남시 수정구 산성동 509	스마트도시과	031-729-8523	37.455109	127.155063	2022-10-30
42	양지동청소년문화의집	"6층(카운터, 노래방, 강당)"	경기도	성남시	서민·복지시설	KT	Public WiFi Free	2014-01	경기도 성남시 수정구 산성대로 483		KT	031-1588-9010	37.454923	127.161001	2022-10-30
43	양지동 주민센터	양지동주민센터 민원실	경기도	성남시	관공서	성남시청	G_PublicWiFi@SeongNam	2017-12	경기도 성남시 수정구 산성대로 483		수정구 행정지원과	031-729-5072	37.454848	127.161024	2022-10-30
44	신촌동 주민센터	신촌동주민센터 민원실	경기도	성남시	관공서	성남시청	G_PublicWiFi@SeongNam	2017-12	경기도 성남시 수정구 오야로 19		수정구 행정지원과	031-729-5072	37.45465	127.104359	2022-10-30
45	은행공원 물놀이장	은행공원 물놀이장	경기도	성남시	편의시설	성남시청	G_PublicWiFi@SeongNam	2018-08	경기도 성남시 중원구 순환로 359		스마트도시과	031-729-8523	37.454024	127.167798	2022-10-30
46	성남시여성복지회관	"1층 화장실, 2층 계단, 3층 계단"	경기도	성남시	서민·복지시설	KT	Public WiFi Free	2014-01	경기도 성남시 수정구 산성대로475번길 7		KT	031-1588-9010	37.45397	127.159877	2022-10-30
47	은행공원	은행공원	경기도	성남시	편의시설	성남시청	G_PublicWiFi@SeongNam	2018-08	경기도 성남시 중원구 순환로 359		스마트도시과	031-729-8523	37.453487	127.169541	2022-10-30
48	성남시립식물원	성남시립식물원	경기도	성남시	지역문화시설	성남시청	G_PublicWiFi@SeongNam	2018-08	경기도 성남시 중원구 은행로 72		스마트도시과	031-729-8523	37.452968	127.168056	2022-10-30
49	산성동 물놀이장	산성동 물놀이장	경기도	성남시	편의시설	성남시청	G_PublicWiFi@SeongNam	2018-08	경기도 성남시 수정구 수정남로 269		스마트도시과	031-729-8523	37.452959	127.150616	2022-10-30
50	수정도서관	3층 문헌정보실	경기도	성남시	지역문화시설	성남시청	G_PublicWiFi@SeongNam	2014-12	경기도 성남시 수정구 수정로 332번길 32		수정도서관	031-743-9600	37.452259	127.152823	2022-10-30
51	산성동 주민센터	산성동주민센터 민원실	경기도	성남시	관공서	성남시청	G_PublicWiFi@SeongNam	2017-12	경기도 성남시 수정구 수정남로 261		수정구 행정지원과	031-729-5072	37.452233	127.15005	2022-10-30
52	은행1동 주민센터	은행1동 주민센터	경기도	성남시	관공서	성남시청	G_PublicWiFi@SeongNam	2014-12	경기도 성남시 중원구 은행로 85		중원구 행정지원과	031-729-6072	37.452072	127.16887	2022-10-30
53	소망재활원	"지하1층(식당, 기계실), 1층(법인사무실, 자원봉사실), 2층(기린초앞 복도, 이용자휴게실), 3층 도자기공방실"	경기도	성남시	서민·복지시설	SKT	Public WiFi Free	2014-01	경기도 성남시 중원구 산성대로476번길 12		SKT	080-011-6000	37.451871	127.161677	2022-10-30
54	자혜공원 물놀이장	자혜공원 물놀이장	경기도	성남시	편의시설	성남시청	G_PublicWiFi@SeongNam	2018-08		경기도 성남시 중원구 금광동 2687	스마트도시과	031-729-8523	37.451457	127.169419	2022-10-30
55	수정노인종합복지관	"지하1층 식당, 1층 엘리베이터, 2층 엘리베이터, 4층 강당, 5층 엘리베이터"	경기도	성남시	서민·복지시설	KT	Public WiFi Free	2014-01	경기도 성남시 수정구 수정남로268번길 28		KT	031-1588-9010	37.450925	127.152959	2022-10-30
56	영장공원 물놀이장	영장공원 물놀이장	경기도	성남시	편의시설	성남시청	G_PublicWiFi@SeongNam	2018-08	경기도 성남시 수정구 태평로 109		스마트도시과	031-729-8523	37.450818	127.137233	2022-10-30
57	자혜공원	자혜공원	경기도	성남시	편의시설	성남시청	G_PublicWiFi@SeongNam	2018-08		경기도 성남시 중원구 금광동 2483	스마트도시과	031-729-8523	37.450771	127.169612	2022-10-30
58	수정구청	수정구청 민원실	경기도	성남시	관공서	성남시청	G_PublicWiFi@SeongNam	2017-12	경기도 성남시 수정구 수정로 283		수정구 행정지원과	031-729-5072	37.450079	127.145616	2022-10-30
59	성남종합사회복지관	"1층 로비, 2층 로비, 3층(로비, 강당)"	경기도	성남시	서민·복지시설	LGU+	Public WiFi Free	2014-12	경기도 성남시 중원구 금빛로 89		LGU+	031-1544-8585	37.449807	127.166046	2022-10-30
60	신흥2동 물놀이장	신흥2동 물놀이장	경기도	성남시	편의시설	성남시청	G_PublicWiFi@SeongNam	2018-08	경기도 성남시 수정구 수정로 279번길 5		스마트도시과	031-729-8523	37.449547	127.145298	2022-10-30
61	단대동 주민센터	단대동주민센터 민원실	경기도	성남시	관공서	성남시청	G_PublicWiFi@SeongNam	2017-12	경기도 성남시 수정구 희망로506번길 21		수정구 행정지원과	031-729-5072	37.449325	127.155321	2022-10-30
62	수정청소년수련관	"지하2층(수영장 카운터, 방재실), 지하1층(식당, 엘리베이터), 1층(공연장, 로비, 자치기구실), 2층(엘리베이터, 강의실, 운영지원실), 3층(인터넷방송국, 청소년방과후아카데미)"	경기도	성남시	지역문화시설	SKT	Public WiFi Free	2014-01	경기도 성남시 수정구 희망로509번길 20		SKT	080-011-6000	37.449258	127.150123	2022-10-30
63	신흥2동 주민센터	신흥2동주민센터 민원실	경기도	성남시	관공서	성남시청	G_PublicWiFi@SeongNam	2017-12	경기도 성남시 수정구 수정로 270		수정구 행정지원과	031-729-5072	37.448673	127.145886	2022-10-30
64	구렛들어린이공원(어25)	"경기도 성남시 분당구 성남대로779번길 12(이매동), 구렛들어린이공원(어25) (옥외1), 공원내 분당이매1-A-50"	경기도	성남시	편의시설	KT	Public WiFi Free	2022-01	경기도 성남시 분당구 성남대로779번길 12(이매동)		KT	031-1588-9010	37.39217644	127.1250497	2022-10-30
65	과수원어린이공원(어20)	"경기도 성남시 분당구 이매동 103, 과수원어린이공원(어20) (옥외1), CCTV:분당이매1-A-8"	경기도	성남시	편의시설	KT	Public WiFi Free	2022-01	경기도 성남시 분당구 이매동 103		KT	031-1588-9010	37.40258466	127.1259339	2022-10-30
66	YWCA은학의집	"경기도 성남시 분당구 벌말로30번길 41(야탑동), YWCA은학의집 (옥내1), 2층 티비분배기함 안"	경기도	성남시	서민·복지시설	KT	Public WiFi Free	2022-01	경기도 성남시 분당구 벌말로30번길 41(야탑동)		KT	031-1588-9010	37.41021909	127.1425645	2022-10-30
67	판교복합단지(판교역)	판교복합단지(판교역)	경기도	성남시	편의시설	성남시청	G_PublicWiFi@SeongNam	2021-12	"경기도 성남시 백현동 534-1, 533, 536"		스마트도시과	031-729-8523	37.41018609	127.1426947	2022-10-30
68	버스정류장 (05-001)	판교제2테크노밸리	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 수정구 시흥동	스마트도시과	031-729-8522	37.411683	127.09935	2022-10-30
69	버스정류장 (05-005)	고등동우체국	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2021-10		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.428217	127.10165	2022-10-30
70	버스정류장 (05-002)	판교제2테크노밸리	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2022-05		경기도 성남시 수정구 시흥동	스마트도시과	031-729-8522	37.411333	127.099733	2022-10-30
71	버스정류장 (05-007)	시흥사거리.고등공공주택지구	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2022-05		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.4246	127.102033	2022-10-30
72	버스정류장 (05-008)	고등동우체국	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2021-10		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.428333	127.10205	2022-10-30
73	버스정류장 (05-015)	시흥동농협창고	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2022-05		경기도 성남시 수정구 시흥동	스마트도시과	031-729-8522	37.422133	127.105033	2022-10-30
74	버스정류장 (05-035)	성남고등공공주택지구.서편	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-08		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.427483	127.094233	2022-10-30
75	버스정류장 (05-016)	효성고등학교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 수정구 신촌동	스마트도시과	031-729-8522	37.449017	127.105017	2022-10-30
76	버스정류장 (05-238)	성남고등공공주택지구.서편	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-08		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.427767	127.09405	2022-10-30
77	버스정류장 (05-017)	효성고등학교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2022-05		경기도 성남시 수정구 신촌동	스마트도시과	031-729-8522	37.4498	127.10575	2022-10-30
78	버스정류장 (05-269)	왕남초교.호반써밋판교밸리아파트	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-08		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.429967	127.096667	2022-10-30
79	버스정류장 (05-025)	동서울대학교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 수정구 복정동	스마트도시과	031-729-8522	37.46035	127.125583	2022-10-30
80	버스정류장 (05-270)	왕남초교.판교밸리포레자이아파트	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-08		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.429883	127.095983	2022-10-30
81	버스정류장 (05-026)	복정동행정복지센터	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 수정구 복정동	스마트도시과	031-729-8522	37.46605	127.126067	2022-10-30
82	버스정류장 (05-271)	고등마을아파트	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-08		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.430267	127.09955	2022-10-30
83	버스정류장 (05-027)	복정동행정복지센터	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 수정구 복정동	스마트도시과	031-729-8522	37.46625	127.126633	2022-10-30
84	버스정류장 (05-272)	고등마을아파트	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-08		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.430383	127.098467	2022-10-30
85	버스정류장 (05-029)	수진리고개.태평고개	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 수정구 태평1동	스마트도시과	031-729-8522	37.444333	127.126733	2022-10-30
86	버스정류장 (05-327)	성남고등공공주택지구.동편	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-08		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.42575	127.099583	2022-10-30
87	버스정류장 (05-030)	가천대역.가천대학교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2015-05		경기도 성남시 수정구 태평1동	스마트도시과	031-729-8522	37.44895	127.126933	2022-10-30
88	버스정류장 (05-328)	성남고등공공주택지구.동편	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-08		경기도 성남시 수정구 고등동	스마트도시과	031-729-8522	37.425617	127.099583	2022-10-30
89	버스정류장 (05-031)	복우물.웃말입구	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 수정구 복정동	스마트도시과	031-729-8522	37.45335	127.126817	2022-10-30
90	버스정류장 (05-103)	성남혜은학교.수정청소년수련관	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 수정구 단대동	스마트도시과	031-729-8522	37.449833	127.152917	2022-10-30
91	버스정류장 (05-033)	성남수정경찰서	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 수정구 태평1동	스마트도시과	031-729-8522	37.441833	127.12765	2022-10-30
92	버스정류장 (05-108)	성남세무서.미도아파트	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 수정구 단대동	스마트도시과	031-729-8522	37.446833	127.155183	2022-10-30
93	버스정류장 (05-115)	단대동행정복지센터.성남만남지역자활센터	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 수정구 단대동	스마트도시과	031-729-8522	37.4478	127.15785	2022-10-30
94	버스정류장 (05-036)	모란고개 (그린쉼터)	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2015-05		경기도 성남시 수정구 수진2동	스마트도시과	031-729-8522	37.436567	127.128067	2022-10-30
95	버스정류장 (06-206)	성남우체국	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2015-05		경기도 성남시 중원구 중앙동	스마트도시과	031-729-8522	37.441767	127.150833	2022-10-30
96	버스정류장 (06-208)	단대오거리역.(구)종점	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2015-05		경기도 성남시 중원구 중앙동	스마트도시과	031-729-8522	37.444033	127.155683	2022-10-30
97	버스정류장 (06-251)	신흥역.종합시장(마을)	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 중원구 중앙동	스마트도시과	031-729-8522	37.440033	127.14605	2022-10-30
98	버스정류장 (06-254)	신지교회	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2022-05		경기도 성남시 중원구 중앙동	스마트도시과	031-729-8522	37.436917	127.146467	2022-10-30
99	버스정류장 (06-293)	공영주차장	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 중원구 은행2동	스마트도시과	031-729-8522	37.456217	127.170033	2022-10-30
100	버스정류장 (06-306)	주공아파트계단	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2022-05		경기도 성남시 중원구 은행2동	스마트도시과	031-729-8522	37.457667	127.1699	2022-10-30
101	버스정류장 (06-340)	한국유통	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2022-05		경기도 성남시 중원구 은행2동	스마트도시과	031-729-8522	37.45625	127.167517	2022-10-30
102	버스정류장 (06-345)	모란역5번출구	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 중원구 성남동	스마트도시과	031-729-8522	37.430683	127.128983	2022-10-30
103	버스정류장 (06-349)	상대원1동행정복지센터	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 중원구 상대원1동	스마트도시과	031-729-8522	37.43305	127.164483	2022-10-30
104	버스정류장 (07-002)	야탑역.종합버스터미널(후면)	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 분당구 야탑1동	스마트도시과	031-729-8522	37.412017	127.128483	2022-10-30
105	버스정류장 (07-004)	운중동먹거리촌	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2015-05		경기도 성남시 분당구 운중동	스마트도시과	031-729-8522	37.3914	127.058233	2022-10-30
106	버스정류장 (07-005)	운중동푸르지오하임	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2022-05		경기도 성남시 분당구 운중동	스마트도시과	031-729-8522	37.391933	127.0611	2022-10-30
107	버스정류장 (07-009)	운중중학교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 분당구 운중동	스마트도시과	031-729-8522	37.3916	127.07305	2022-10-30
108	버스정류장 (07-010)	운중고등학교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 분당구 운중동	스마트도시과	031-729-8522	37.391817	127.073017	2022-10-30
109	버스정류장 (07-011)	운중동행정복지센터	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 분당구 운중동	스마트도시과	031-729-8522	37.3915	127.077667	2022-10-30
110	버스정류장 (07-012)	운중동행정복지센터	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 분당구 운중동	스마트도시과	031-729-8522	37.39185	127.07675	2022-10-30
111	버스정류장 (07-013)	뫼루니육교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 분당구 운중동	스마트도시과	031-729-8522	37.391067	127.082917	2022-10-30
112	버스정류장 (07-014)	판교원마을1.2단지.판교도서관	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 분당구 판교동	스마트도시과	031-729-8522	37.3899	127.089067	2022-10-30
113	버스정류장 (07-015)	판교원마을1.2단지.판교도서관	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2018-05		경기도 성남시 분당구 판교동	스마트도시과	031-729-8522	37.389817	127.087933	2022-10-30
114	버스정류장 (07-016)	한림아파트	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2021-10		경기도 성남시 분당구 판교동	스마트도시과	031-729-8522	37.388217	127.096133	2022-10-30
115	버스정류장 (07-017)	한림아파트	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 분당구 판교동	스마트도시과	031-729-8522	37.3885	127.096083	2022-10-30
116	버스정류장 (07-018)	너더리육교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2020-05		경기도 성남시 분당구 판교동	스마트도시과	031-729-8522	37.3881	127.0996	2022-10-30
117	버스정류장 (07-020)	너더리육교	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2019-03		경기도 성남시 분당구 판교동	스마트도시과	031-729-8522	37.388383	127.0996	2022-10-30
118	버스정류장 (07-021)	운중동주민센터사거리	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2022-05		경기도 성남시 분당구 운중동	스마트도시과	031-729-8522	37.391783	127.077383	2022-10-30
119	버스정류장 (07-023)	야탑119안전센터	경기도	성남시	교통시설	성남시청	G_PublicWiFi@SeongNam	2022-05		경기도 성남시 분당구 야탑3동	스마트도시과	031-729-8522	37.4163	127.1362	2022-10-30
